,4scRNA control,CRISPRa-PP_1075,CRISPRa-PP_1830,CRISPRa-PP_2168,CRISPRa-PP_2329,CRISPRa-PP_4169,CRISPRa-PP_4965,CRISPRa-PP_5079,CRISPRi-PP_0059,CRISPRi-PP_0289,CRISPRi-PP_0417,CRISPRi-PP_0420,CRISPRi-PP_0966,CRISPRi-PP_1025,CRISPRi-PP_1032,CRISPRi-PP_1037,CRISPRi-PP_1237,CRISPRi-PP_1525,CRISPRi-PP_1530,CRISPRi-PP_1665,CRISPRi-PP_1914,CRISPRi-PP_1917,CRISPRi-PP_1988,CRISPRi-PP_1989,CRISPRi-PP_1992,CRISPRi-PP_2000,CRISPRi-PP_2082,CRISPRi-PP_2554,CRISPRi-PP_2639,CRISPRi-PP_3569,CRISPRi-PP_4016,CRISPRi-PP_4297,CRISPRi-PP_4678,CRISPRi-PP_4725,CRISPRi-PP_4822,CRISPRi-PP_4823,CRISPRi-PP_5015,CRISPRi-PP_5128,CRISPRi-PP_5155,CRISPRi-PP_5336-5335,pACA production 3 scRNA positive control
ACODA,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774,0.11324976437411774
ACONTa,2.656221292880942,2.6479401635557527,2.672055717899208,2.64282915405037,2.653374654675434,2.6484253859771507,2.659391412700731,2.654830321939593,2.735166980842304,2.7259154066743227,2.6826982630085197,2.6477622486679104,2.627188818000653,2.685528727133346,2.6208000561189175,2.599789925272408,2.670276569020743,2.683199659510635,2.676099238077512,2.5992561806088745,2.659067931086468,2.6222395493024115,2.5894385136159297,2.6235658239208837,2.701702807846594,2.6332702723488377,2.671619017719951,2.651094109294834,2.633432013155968,2.5971212019547227,2.625118535669357,2.6610088207720515,2.645740488578745,2.69164252964295,2.6229835570151927,2.59584344957838,2.6765521123374825,2.6184548144154975,2.5965551091297616,2.6239701759387155,2.6799648433679817
ACONTb,2.656221292880942,2.6479401635557527,2.672055717899208,2.64282915405037,2.653374654675434,2.6484253859771507,2.659391412700731,2.654830321939593,2.735166980842304,2.7259154066743227,2.6826982630085197,2.6477622486679104,2.627188818000653,2.685528727133346,2.6208000561189175,2.599789925272408,2.670276569020743,2.683199659510635,2.676099238077512,2.5992561806088745,2.659067931086468,2.6222395493024115,2.5894385136159297,2.6235658239208837,2.701702807846594,2.6332702723488377,2.671619017719951,2.651094109294834,2.633432013155968,2.5971212019547227,2.625118535669357,2.6610088207720515,2.645740488578745,2.69164252964295,2.6229835570151927,2.59584344957838,2.6765521123374825,2.6184548144154975,2.5965551091297616,2.6239701759387155,2.6799648433679817
ACOTA,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774,-0.11324976437411774
ACPPAT161,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966,0.01960701148098966
ACS,0.1716562927755645,0.17165629277556466,0.1716562927755645,0.1716562927755645,0.17165629277556455,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.17165629277556466,0.1716562927755646,0.17165629277556466,0.1716562927755645,0.17165629277556466,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755646,0.1716562927755645,0.1716562927755645,0.1716562927755647,0.1716562927755645,0.1716562927755647,0.1716562927755645,0.17165629277556455,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.17165629277556466,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755645,0.1716562927755646
AMAOTr,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05
AMPMS2,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285866945e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05,6.509496285876957e-05
ANPRT,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286
ANS2,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286,0.022649544206895286
